site_name,sensor_Y,pixel_pos,pixel_lon,pixel_lat,n_matchups
MAFR,S3A,"-1,-1",-1.0443195148861646,45.55096378458844,936
MAFR,S3A,"0,-1",-1.0452230594865373,45.548541500313085,918
MAFR,S3A,"-1,0",-1.0396527959537571,45.55028434104046,933
MAFR,S3A,"0,0",-1.0404020318127252,45.54775085654262,926
MAFR,S3A,"1,0",-1.0404841935185185,45.54496842407407,787
MAFR,S3A,"-1,1",-1.0370028413156376,45.54982441488748,933
MAFR,S3A,"0,1",-1.0378100543789353,45.54726526330853,933
MAFR,S3A,"1,1",-1.0380509003300329,45.54456194323432,902
MAFR,S3A,"1,-1",-1.04680925,45.54743643055556,72
MAFR,S3B,"-1,-1",-1.0443043554970375,45.55085901711652,1017
MAFR,S3B,"-1,0",-1.0395922254901961,45.55017351764706,1024
MAFR,S3B,"0,0",-1.0403432361984626,45.54765060866527,985
MAFR,S3B,"1,0",-1.0402168476658478,45.54492900859951,674
MAFR,S3B,"-1,1",-1.0368989849521204,45.549692195622434,1002
MAFR,S3B,"0,1",-1.0376203797979797,45.547138708417506,997
MAFR,S3B,"1,1",-1.0379390507462687,45.544502092537314,929
MAFR,S3B,"0,-1",-1.0452731294378699,45.5484568831361,955
MAFR,S3B,"1,-1",-1.0466869565217392,45.547320086956525,46
MAFR,PACE,"1,1",-1.0105274549266248,45.561626650943396,810
MAFR,PACE,"1,-1",-1.0094655767195768,45.53433857037037,792
MAFR,PACE,"0,0",-1.0341708413654618,45.54895336144578,459
MAFR,PACE,"1,0",-1.0093853661257606,45.54802735902637,822
MAFR,PACE,"0,1",-1.039539,45.5617870023753,731
MAFR,PACE,"0,-1",-1.0309582142857143,45.534405277310924,228
MAFR,PACE,"-1,1",-1.0666023,45.560051050000006,35
MAFR,AQUA,"1,0",-1.0420751064572427,45.558009867364746,491
MAFR,AQUA,"-1,-1",-1.0187652964426877,45.540935608695655,655
MAFR,AQUA,"0,-1",-1.0232883369304557,45.550451979616305,718
MAFR,AQUA,"1,-1",-1.0268506833527358,45.55966624912689,715
MAFR,AQUA,"-1,0",-1.0316741578947368,45.55102834736842,90
MAFR,AQUA,"0,0",-1.0379086264367816,45.5522446954023,171
MAFR,AQUA,"1,1",-1.0509331489361702,45.558966382978724,44
MAFR,AQUA,"-1,1",-1.06352256,45.5926284,25
MAFR,JPSS1,"0,-1",-1.0290893452115812,45.54948735356347,1485
