site_name,sensor_X,sensor_Y,wavelength,var_name,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
MAFR,HYPERNETS,SNPP,410,RHOW,18,18,8,8,0.2728,0.2322,0.6699,1.5992,3.8181,-0.086697,-0.020973,0.006555,NA,FALSE,FALSE,0.006993,0.004889,16.1263,-0.15871,-0.082094,0.026191,0.043971,0.137392,0.168656,-18.8652,-9.0222,2.6181,4.5708,15.9601,19.1226
MAFR,HYPERNETS,SNPP,443,RHOW,18,18,8,8,0.4803,0.5364,0.4929,1.1068,2.4853,-0.072968,-0.010344,0.017547,NA,FALSE,FALSE,0.0077210000000000004,0.006257,13.4695,-0.164093,-0.095604,-0.072002,0.080846,0.095604,0.164093,-19.6313,-10.5738,-7.7811,8.6452,10.5738,19.6313
MAFR,HYPERNETS,SNPP,486,RHOW,18,18,8,8,0.6099,0.7399,0.4823,0.9952,2.0535,-0.075814,-0.008833,0.023629,NA,FALSE,FALSE,0.010444,0.009238,14.4049,-0.180844,-0.174008,-0.088714,0.088714,0.174008,0.180844,-22.0831,-21.0667,-9.7387,9.7387,21.0667,22.0831
MAFR,HYPERNETS,SNPP,551,RHOW,18,18,8,8,0.821,1.0083,0.5847,0.9559,1.5626,-0.068146,-0.009832,0.025839,NA,FALSE,FALSE,0.015242,0.014075,14.6293,-0.185427,-0.173687,-0.098632,0.098632,0.173687,0.185427,-22.7643,-21.0261,-10.9438,10.9438,21.0261,22.7643
MAFR,HYPERNETS,SNPP,671,RHOW,18,18,8,8,0.8093,0.966,0.6497,0.8373,1.0792,-0.0139,0.00292,0.01597,NA,FALSE,FALSE,0.010185,0.008878,12.7302,-0.175641,-0.12425,-0.071576,0.071576,0.12425,0.175641,-21.3273,-14.2767,-7.7128,7.7128,14.2767,21.3273
MAFR,HYPERNETS,JPSS1,411,RHOW,65,58,33,32,0.3516,0.434,0.9261,1.3169,1.8725,-0.032834,-0.017259,-0.006306,NA,FALSE,TRUE,0.012713,0.010084,35.2087,-0.481832,-0.312317,-0.084691,0.120382,0.354098,0.538929,-93.3237,-45.4177,-9.2875,12.9503,48.6681,93.3237
MAFR,HYPERNETS,JPSS1,445,RHOW,65,58,33,33,0.3602,0.4418,0.657,0.9145,1.2729,-0.022465,-0.006684,0.004654,NA,FALSE,FALSE,0.015256,0.011588,24.3865,-0.302122,-0.196827,-0.069876,0.10719,0.196827,0.302122,-43.2916,-24.5062,-7.5125,10.719,24.5062,43.2916
MAFR,HYPERNETS,JPSS1,489,RHOW,65,58,33,33,0.3037,0.4148,0.5321,0.7387,1.0254,-0.015866,0.002005,0.014878,NA,FALSE,FALSE,0.019827,0.015327,22.7753,-0.270839,-0.190537,-0.095019,0.10288,0.225135,0.270839,-37.144,-23.5386,-10.4996,11.4678,24.2497,37.144
MAFR,HYPERNETS,JPSS1,556,RHOW,65,58,33,33,0.2897,0.4326,0.4619,0.6365,0.877,-0.009713,0.013134,0.029713,NA,TRUE,FALSE,0.029994,0.022993,22.1848,-0.289881,-0.226532,-0.090728,0.09902,0.230215,0.289881,-40.8216,-29.2879,-9.978,10.9902,29.2879,40.8216
MAFR,HYPERNETS,JPSS1,667,RHOW,65,58,33,33,0.4628,0.7845,0.4752,0.598,0.7527,-0.002898,0.007489,0.015742,NA,TRUE,FALSE,0.028345,0.019985,26.3158,-0.342519,-0.213948,-0.16279,0.163608,0.213948,0.342519,-52.0957,-27.2181,-19.4443,19.4443,27.2181,52.0957
MAFR,HYPERNETS,JPSS2,411,RHOW,76,70,36,36,0.6329,1.1154,1.2374,1.7008,2.3378,-0.042723,-0.02543,-0.012849,NA,TRUE,TRUE,0.012606,0.010813,40.7764,-0.535124,-0.347495,0.034453,0.168004,0.411677,0.55193,-115.1149,-53.262,3.4451,18.1068,58.0026,115.1149
MAFR,HYPERNETS,JPSS2,445,RHOW,76,70,36,36,0.5657,0.6881,0.7967,1.0661,1.4266,-0.023669,-0.00852,0.002801,NA,FALSE,FALSE,0.01202,0.0102,24.8388,-0.307666,-0.215227,0.013236,0.097975,0.242613,0.336821,-44.4403,-27.4256,1.3234,10.8661,29.7657,46.4125
MAFR,HYPERNETS,JPSS2,489,RHOW,76,70,36,36,0.4694,0.525,0.6395,0.852,1.1351,-0.016082,4.52e-4,0.012862,NA,FALSE,FALSE,0.014942,0.013072,23.6923,-0.255597,-0.190455,-0.074836,0.147656,0.212987,0.308321,-34.3377,-23.5261,-8.0944,16.9798,26.6479,44.3499
