file_name,site_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
AQUA_20240912T134001_vs_HYPERNETS_20240912T131500_RHOW_C.csv,MAFR,Hyp,AQUA,-1.040456,45.547661999999995,-1.0037909999999997,45.539986,2.98,3,2024-09-12T11:15:00Z,2024-09-12T11:40:01Z,25,15,8,0.9948,1.0988,0.8478,1.0107,1.205,-0.009599,-0.003446,0.001715,NA,FALSE,FALSE,0.00394,0.003362,12.7713,-0.156498,-0.088138,-0.029512,0.049785,0.091869,0.156498,-18.6021,-9.7343,-3.0415,5.2459,9.9492,18.6021
AQUA_20250921T143501_vs_HYPERNETS_20250921T150000_RHOW_C.csv,MAFR,Hyp,AQUA,-1.040456,45.547661999999995,-1.0091059999999998,45.536758000000006,2.73,3,2025-09-21T13:00:00Z,2025-09-21T12:35:01Z,25,15,8,1.6432,0.8897,1.5112,1.6496,1.8006,-5.83e-4,0.003817,0.007848,NA,TRUE,FALSE,0.023434,0.022739,79.7208,0.753189,0.787622,0.814574,0.753189,0.787622,0.814574,75.312,78.7553,81.4573,75.312,78.7553,81.4573
AQUA_20251014T143501_vs_HYPERNETS_20251014T141500_RHOW_C.csv,MAFR,Hyp,AQUA,-1.040456,45.547661999999995,-1.004358,45.537872,3.02,3,2025-10-14T12:15:00Z,2025-10-14T12:35:01Z,20,15,8,0.8297,1.3716,0.7024,0.8443,1.015,-0.025031,-0.011749,-7e-4,NA,FALSE,TRUE,0.024589,0.023865,33.0819,-0.341765,-0.311715,-0.276063,0.276063,0.311715,0.341765,-52.0873,-45.2941,-38.1798,38.1798,45.2941,52.0873
AQUA_20251014T143501_vs_HYPERNETS_20251014T143000_RHOW_C.csv,MAFR,Hyp,AQUA,-1.040456,45.547661999999995,-1.004358,45.537872,3.02,3,2025-10-14T12:30:00Z,2025-10-14T12:35:01Z,5,15,8,0.8954,1.3116,0.7493,0.9138,1.1145,-0.023312,-0.009399,0.002009,NA,FALSE,FALSE,0.016162,0.015374,24.6142,-0.266101,-0.229335,-0.185329,0.185329,0.229335,0.266101,-36.335,-29.7905,-22.7788,22.7788,29.7905,36.335
AQUA_20251014T143501_vs_HYPERNETS_20251014T144500_RHOW_C.csv,MAFR,Hyp,AQUA,-1.040456,45.547661999999995,-1.004358,45.537872,3.02,3,2025-10-14T12:45:00Z,2025-10-14T12:35:01Z,10,15,8,1.4929,1.4642,1.3136,1.5074,1.7297,-0.026401,-0.01607,-0.007067,NA,TRUE,TRUE,0.010739,0.009269,19.1709,0.086688,0.164861,0.208449,0.1541,0.175949,0.276816,8.4561,16.486,20.7838,15.3976,17.5906,28.4118
AQUA_20250206T125500_vs_HYPERNETS_20250206T123000_RHOW_R.csv,THFR,Hyp,AQUA,3.6641600000000003,43.43485999999999,3.7485150000000003,43.400982,7.79,3,2025-02-06T11:30:00Z,2025-02-06T11:55:00Z,25,30,6,0.6275,1.7212,0.3866,0.7078,1.2958,-0.002862,-7.56e-4,3.94e-4,NA,FALSE,FALSE,0.002092,0.001802,54.6315,-0.740507,-0.543835,-0.332936,0.332936,0.543835,0.740507,-287.5863,-131.5052,-50.1537,50.1537,131.5052,287.5863
AQUA_20250206T125500_vs_HYPERNETS_20250206T124500_RHOW_R.csv,THFR,Hyp,AQUA,3.6641600000000003,43.43485999999999,3.7485150000000003,43.400982,7.79,3,2025-02-06T11:45:00Z,2025-02-06T11:55:00Z,10,30,6,0.6503,1.7056,0.4008,0.7333,1.3415,-0.002794,-7.21e-4,4.12e-4,NA,FALSE,FALSE,0.001916,0.00163,52.2358,-0.721673,-0.522695,-0.303675,0.303675,0.522695,0.721673,-260.6658,-121.5972,-43.8192,43.8192,121.5972,260.6658
AQUA_20250206T125500_vs_HYPERNETS_20250206T130000_RHOW_R.csv,THFR,Hyp,AQUA,3.6641600000000003,43.43485999999999,3.7485150000000003,43.400982,7.79,3,2025-02-06T12:00:00Z,2025-02-06T11:55:00Z,5,30,6,0.6546,1.7032,0.4059,0.7338,1.3264,-0.002686,-6.92e-4,4.12e-4,NA,FALSE,FALSE,0.00187,0.001588,51.7166,-0.709637,-0.518961,-0.300755,0.300755,0.518961,0.709637,-245.2352,-119.5465,-43.2168,43.2168,119.5465,245.2352
AQUA_20250206T125500_vs_HYPERNETS_20250206T131500_RHOW_R.csv,THFR,Hyp,AQUA,3.6641600000000003,43.43485999999999,3.7485150000000003,43.400982,7.79,3,2025-02-06T12:15:00Z,2025-02-06T11:55:00Z,20,30,6,0.6661,1.7338,0.414,0.745,1.3409,-0.002683,-7.01e-4,4.01e-4,NA,FALSE,FALSE,0.001822,0.001549,51.589,-0.698483,-0.513026,-0.292459,0.292459,0.513026,0.698483,-232.1333,-116.9178,-41.5337,41.5337,116.9178,232.1333
AQUA_20250206T125500_vs_HYPERNETS_20250206T123000_RHOW_R_pixel.csv,THFR_pixel,Hyp,AQUA,3.6641600000000003,43.43485999999999,3.654736,43.399388,4.02,3,2025-02-06T11:30:00Z,2025-02-06T11:55:00Z,25,30,8,1.3835,1.2703,1.0929,1.4414,1.9012,-0.00307,-0.001394,-1.23e-4,NA,TRUE,TRUE,0.001066,8.98e-4,26.7958,-0.304538,0.109798,0.170353,0.13955,0.251083,0.346266,-45.2667,10.9641,16.9439,13.9532,27.8611,45.2667
