file_name,site_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
S3A_20240603T103925_vs_HYPERNETS_20240603T104500_RHOW_C.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.045159,45.554849999999995,0.88,0.8999999999999999,2024-06-03T08:45:00Z,2024-06-03T08:39:25Z,6,15,16,0.818,1.0466,0.7587,0.8277,0.903,-0.009111,-0.005521,-0.00223,NA,TRUE,TRUE,0.015435,0.013737,33.1516,-0.330133,-0.279457,-0.250478,0.250478,0.279457,0.330133,-49.2902,-38.7915,-33.4192,33.4192,38.7915,49.2902
S3A_20240604T101314_vs_HYPERNETS_20240604T100000_RHOW_C.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.0438679999999998,45.554338,0.79,0.8999999999999999,2024-06-04T08:00:00Z,2024-06-04T08:13:14Z,13,15,15,0.7888,0.9551,0.7121,0.8065,0.9136,-0.013045,-0.006588,-8.88e-4,NA,TRUE,TRUE,0.020854,0.018417,34.0388,-0.301047,-0.268875,-0.251988,0.258339,0.273124,0.319804,-43.0999,-36.7754,-33.6883,33.6883,36.7754,43.0999
S3A_20240612T100545_vs_HYPERNETS_20240612T100000_RHOW_R.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.0425,45.553169,0.63,0.8999999999999999,2024-06-12T08:00:00Z,2024-06-12T08:05:45Z,6,15,15,0.7852,0.7303,0.6956,0.8138,0.952,-0.007788,-0.003016,0.001063,NA,TRUE,FALSE,0.012267,0.00988,45.8682,-0.248747,-0.22459,-0.11524,0.159994,0.242199,0.294985,-33.1131,-28.964,-13.162,19.0468,31.9608,42.094
S3A_20240612T100545_vs_HYPERNETS_20240612T101500_RHOW_R.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.0425,45.553169,0.63,0.8999999999999999,2024-06-12T08:15:00Z,2024-06-12T08:05:45Z,9,15,15,0.7866,0.7254,0.695,0.8175,0.9616,-0.007808,-0.00288,0.00131,NA,TRUE,FALSE,0.012081,0.009559,45.4008,-0.24019,-0.206305,-0.098913,0.153915,0.22308,0.295953,-31.6201,-25.9931,-11.1407,18.1945,28.7133,42.3577
S3A_20240619T102426_vs_HYPERNETS_20240619T101500_RHOW_C.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.0452899999999998,45.55383,0.78,0.8999999999999999,2024-06-19T08:15:00Z,2024-06-19T08:24:26Z,9,15,16,0.7566,0.8222,0.7074,0.7634,0.8237,-0.003559,-0.001521,3.68e-4,NA,TRUE,FALSE,0.011584,0.00981,38.1659,-0.326035,-0.278822,-0.207547,0.224554,0.30129,0.329628,-48.3759,-38.6665,-26.1913,28.9664,43.1617,49.1721
S3A_20240623T102042_vs_HYPERNETS_20240623T103100_RHOW_C.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.0458759999999998,45.552813,0.71,0.8999999999999999,2024-06-23T08:31:00Z,2024-06-23T08:20:42Z,10,15,16,0.3296,0.0504,0.3184,0.4764,0.7128,0.153253,0.166279,0.174986,NA,TRUE,TRUE,0.139803,0.137424,665.2666,1.280523,2.326754,6.125189,1.280523,2.326754,6.125189,128.0501,229.156,612.5148,128.0501,229.156,612.5148
S3A_20240626T104308_vs_HYPERNETS_20240626T103000_RHOW_C.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.0433839999999999,45.554010999999996,0.74,0.8999999999999999,2024-06-26T08:30:00Z,2024-06-26T08:43:08Z,13,15,16,0.8568,0.9515,0.8259,0.8588,0.893,-0.003797,-0.001971,-2.15e-4,NA,TRUE,TRUE,0.010906,0.009638,20.258,-0.199613,-0.176988,-0.161257,0.162046,0.184105,0.213633,-24.9403,-21.5072,-19.226,19.3382,22.5651,25.9153
S3A_20240626T104308_vs_HYPERNETS_20240626T104500_RHOW_C.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.0433839999999999,45.554010999999996,0.74,0.8999999999999999,2024-06-26T08:45:00Z,2024-06-26T08:43:08Z,2,15,16,0.843,0.9292,0.8122,0.845,0.8792,-0.003592,-0.001748,2.5e-5,NA,TRUE,FALSE,0.011696,0.010287,21.7796,-0.205342,-0.181464,-0.170292,0.173047,0.186346,0.216357,-25.8404,-22.1693,-20.5248,20.926,22.9044,27.6474
S3A_20240627T101658_vs_HYPERNETS_20240627T101500_RHOW_C.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.043086,45.553216,0.65,0.8999999999999999,2024-06-27T08:15:00Z,2024-06-27T08:16:58Z,2,15,16,0.832,0.7611,0.7896,0.8362,0.8856,0.001562,0.003636,0.005595,NA,TRUE,TRUE,0.006257,0.005058,25.5922,-0.122155,-0.065944,0.038759,0.061276,0.117864,0.139586,-13.9162,-7.1401,3.8586,6.1355,13.3616,15.5707
S3A_20240630T103924_vs_HYPERNETS_20240630T103000_RHOW_R.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.0459109999999998,45.55297,0.73,0.8999999999999999,2024-06-30T08:30:00Z,2024-06-30T08:39:24Z,9,15,14,0.5997,0.5725,0.5112,0.6496,0.8255,-0.005164,-0.001297,0.001746,NA,TRUE,FALSE,0.012742,0.009924,105.7415,-0.499593,-0.402737,0.009853,0.298166,0.419898,0.535801,-100.3906,-67.4512,-0.6264,39.0996,72.3989,115.4575
S3A_20240630T103924_vs_HYPERNETS_20240630T104500_RHOW_R.csv,MAFR,Hyp,S3A,-1.040456,45.547661999999995,-1.0459109999999998,45.55297,0.73,0.8999999999999999,2024-06-30T08:45:00Z,2024-06-30T08:39:24Z,6,15,14,0.5657,0.5572,0.4818,0.6147,0.7842,-0.00591,-0.001825,0.001377,NA,TRUE,FALSE,0.014967,0.011893,111.2757,-0.550874,-0.469241,-0.108303,0.326768,0.481517,0.586838,-123.0382,-88.4146,-13.2905,48.6013,92.8952,142.132
